,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,-178.7478976,2021-05-04 09:42:14.714521,2021-05-04 09:48:44.871928,0 days 00:06:30.157407000,32,1000000,0.15105600352333182,0.2464011362516333,0.9999,20000,0.0003890387888190584,tiny,2,1,128,COMPLETE
1,1,59.945844199999996,2021-05-04 09:42:14.715949,2021-05-04 09:51:26.058606,0 days 00:09:11.342657000,128,50000,0.17830840096106124,0.3528774910543685,0.9,20000,0.0008012552561197343,tiny,1,1,256,COMPLETE
2,2,-347.5667004,2021-05-04 09:42:14.718286,2021-05-04 09:48:06.860527,0 days 00:05:52.142241000,100,1000000,0.11098603937716572,0.45856892580937086,0.9,5000,2.5715238337862057e-05,small,4,15000,16,COMPLETE
3,3,-264.89268219999997,2021-05-04 09:48:06.866260,2021-05-04 09:57:58.396151,0 days 00:09:51.529891000,128,1000000,0.14720556669655122,0.4886929124511701,0.999,20000,0.04480567057545413,small,2,1000,1,COMPLETE
4,4,-189.9091742,2021-05-04 09:48:44.874026,2021-05-04 09:55:42.984460,0 days 00:06:58.110434000,64,100000,0.10736828136300913,0.1342583129759536,0.999,1000,0.003924837363127294,tiny,1,10000,1000,COMPLETE
5,5,-376.5365484,2021-05-04 09:51:26.066151,2021-05-04 10:16:42.195909,0 days 00:25:16.129758000,512,50000,0.1565255310016026,0.19599486891221268,0.99,1000,0.3506551907394858,medium,1,5000,1000,PRUNED
6,6,-13.429060799999997,2021-05-04 09:55:42.986967,2021-05-04 10:03:29.567369,0 days 00:07:46.580402000,128,10000,0.14454110882543156,0.33168126806800297,0.98,20000,0.01054785695635049,medium,8,1,128,COMPLETE
7,7,-237.30490440000003,2021-05-04 09:57:58.397775,2021-05-04 10:08:29.997745,0 days 00:10:31.599970000,512,10000,0.08140619105843845,0.24882151277293285,0.98,0,0.00014234465575515247,small,2,10000,256,COMPLETE
8,8,-24.399012999999975,2021-05-04 10:03:29.570011,2021-05-04 10:12:05.889391,0 days 00:08:36.319380000,64,1000000,0.11464245137416017,0.2993437431559662,0.98,5000,2.7211422864046558e-05,medium,2,5000,256,COMPLETE
9,9,-270.1895908,2021-05-04 10:08:30.000481,2021-05-04 10:14:43.788554,0 days 00:06:13.788073000,32,100000,0.12943200376336003,0.09091601597375171,0.9,1000,0.0005641251909920557,medium,8,15000,4,COMPLETE
10,10,-200.7829726,2021-05-04 10:12:05.890955,2021-05-04 10:14:29.640127,0 days 00:02:23.749172000,64,10000,0.06988468051641837,0.43058008365084977,0.99,10000,0.044162531730132876,tiny,4,5000,256,COMPLETE
11,11,-370.89294340000004,2021-05-04 10:14:29.644804,2021-05-04 10:20:19.712481,0 days 00:05:50.067677000,32,50000,0.0521467158167257,0.3247001059236852,0.995,5000,0.08464566396371924,small,2,15000,1000,COMPLETE
12,12,-382.2998748,2021-05-04 10:14:43.790915,2021-05-04 10:22:02.684283,0 days 00:07:18.893368000,16,50000,0.19309526399257185,0.37634410755411873,0.95,10000,0.35151199652552434,tiny,1,20000,8,COMPLETE
13,13,-255.01126720000002,2021-05-04 10:16:42.198108,2021-05-04 10:17:41.133752,0 days 00:00:58.935644000,128,50000,0.19714321714254812,0.3647393629225868,0.995,20000,0.005110596667578258,tiny,8,1,128,PRUNED
14,14,-202.23309079999999,2021-05-04 10:17:41.134931,2021-05-04 10:20:19.331530,0 days 00:02:38.196599000,128,10000,0.003707046861675986,0.3818465577344906,0.95,20000,0.023183626307325483,medium,1,1,8,PRUNED
15,15,-337.16205659999997,2021-05-04 10:20:19.332672,2021-05-04 10:20:46.464143,0 days 00:00:27.131471000,256,50000,0.19635735714573474,0.32820088783639284,0.98,20000,0.0012252129233678516,tiny,8,20000,128,PRUNED
16,16,237.56182799999996,2021-05-04 10:20:19.722058,2021-05-04 10:25:34.869647,0 days 00:05:15.147589000,256,10000,0.19633524988274567,0.40216754538189065,0.9,20000,0.0014825779859078962,medium,8,20000,128,COMPLETE
17,17,-364.01113640000005,2021-05-04 10:20:46.465619,2021-05-04 10:28:28.794325,0 days 00:07:42.328706000,16,10000,0.17879045079679906,0.0019674333105290376,0.9,20000,0.008558920694149453,medium,8,1,128,COMPLETE
18,18,60.39069059999999,2021-05-04 10:22:02.686031,2021-05-04 10:30:18.966165,0 days 00:08:16.280134000,128,10000,0.17408811015389267,0.0037843169664908693,0.9,0,0.00904290158928006,medium,8,1,128,COMPLETE
19,19,293.8140224,2021-05-04 10:25:34.872183,2021-05-04 10:47:30.758698,0 days 00:21:55.886515000,256,10000,0.17472431896782895,0.4307133266263729,0.9,0,9.604374727072878e-05,medium,1,20000,256,COMPLETE
20,20,106.4359626,2021-05-04 10:28:28.796223,2021-05-04 10:34:49.836831,0 days 00:06:21.040608000,256,50000,0.1693993062324331,0.4146776629955362,0.9,0,0.0001629044129809685,tiny,1,20000,256,COMPLETE
21,21,107.9377708,2021-05-04 10:30:18.967350,2021-05-04 10:34:52.233892,0 days 00:04:33.266542000,256,10000,0.17355311972035997,0.04646527918619549,0.9,0,0.00017330679989527157,medium,8,20000,16,COMPLETE
22,22,228.76291940000002,2021-05-04 10:34:49.839490,2021-05-04 10:42:05.607739,0 days 00:07:15.768249000,256,100000,0.03428542270633192,0.4994415827315489,0.9,0,0.00011803903071369618,medium,4,20000,16,COMPLETE
23,23,-263.6228716,2021-05-04 10:34:52.237181,2021-05-04 10:35:51.686537,0 days 00:00:59.449356000,256,10000,0.17518963236544596,0.42085756541324837,0.9,0,9.312971333334452e-05,medium,8,20000,16,PRUNED
24,24,11.581457399999982,2021-05-04 10:35:51.688577,2021-05-04 10:39:57.703388,0 days 00:04:06.014811000,256,10000,0.19972535207560585,0.4959971775903527,0.9,0,7.369256479090678e-05,medium,8,20000,16,COMPLETE
25,25,-307.10052939999997,2021-05-04 10:39:57.706786,2021-05-04 10:41:14.263507,0 days 00:01:16.556721000,256,10000,0.16297977945364583,0.07962121759369277,0.9,0,1.1225084225556766e-05,medium,8,20000,16,PRUNED
26,26,-262.4813286,2021-05-04 10:41:14.264631,2021-05-04 10:59:46.591439,0 days 00:18:32.326808000,256,100000,0.12332702191986632,0.19444764248788715,0.9999,0,0.0002803054754308808,medium,1,20000,4,COMPLETE
27,27,-80.35273600000001,2021-05-04 10:42:05.609970,2021-05-04 10:49:28.166557,0 days 00:07:22.556587000,256,100000,0.006788080677217246,0.4934543054610151,0.9999,0,0.001926889093345805,medium,4,20000,16,COMPLETE
