,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,72.4603458,2021-03-18 00:27:57.197162,2021-03-18 00:47:33.839956,0 days 00:19:36.642794000,512,100000,auto,0.98,20000,0.883655835329975,2.6036600466560744e-05,medium,0.005,128,COMPLETE
1,1,,2021-03-18 00:27:57.199515,2021-03-18 01:05:15.187656,0 days 00:37:17.988141000,2048,1000000,auto,0.99,20000,-3.531349575857865,0.06185912894564156,big,0.001,16,FAIL
2,2,-399.9104628,2021-03-18 00:47:33.842253,2021-03-18 01:10:07.609273,0 days 00:22:33.767020000,1024,100000,auto,0.9999,20000,-1.2550370104894055,0.305827028732254,medium,0.01,16,COMPLETE
3,3,-2.723294,2021-03-18 01:05:15.188931,2021-03-18 01:34:03.313823,0 days 00:28:48.124892000,1024,10000,auto,0.9999,20000,-0.1825492199964045,0.0011341953431587707,big,0.01,128,COMPLETE
4,4,931.9768244,2021-03-18 01:10:07.611239,2021-03-18 01:31:26.566992,0 days 00:21:18.955753000,256,10000,auto,0.9999,10000,0.6608388802363212,0.0031893405974359875,medium,0.02,256,COMPLETE
5,5,236.31795580000002,2021-03-18 01:31:26.570767,2021-03-18 02:05:23.854428,0 days 00:33:57.283661000,1024,100000,auto,0.999,0,-2.7100984229844274,7.460077569281999e-05,big,0.02,512,COMPLETE
6,6,-399.85647359999996,2021-03-18 01:34:03.315556,2021-03-18 02:05:15.351647,0 days 00:31:12.036091000,2048,100000,auto,0.999,0,0.19491074238731265,0.1023999367825853,medium,0.005,64,COMPLETE
7,7,939.3125926,2021-03-18 02:05:15.353577,2021-03-18 02:36:49.784972,0 days 00:31:34.431395000,2048,10000,auto,0.995,1000,-0.9357552512204861,0.002348671118255748,medium,0.01,256,COMPLETE
8,8,-0.07859340000000001,2021-03-18 02:05:23.855891,2021-03-18 02:27:52.066227,0 days 00:22:28.210336000,256,100000,auto,0.99,1000,-2.96472786640039,2.514061086958459e-05,medium,0.01,256,COMPLETE
9,9,-399.8800284,2021-03-18 02:27:52.068217,2021-03-18 02:48:27.354731,0 days 00:20:35.286514000,256,100000,auto,0.995,10000,-3.130622662768661,0.2708259848022556,medium,0.02,128,COMPLETE
10,10,,2021-03-18 02:36:49.786940,2021-03-18 03:10:19.309947,0 days 00:33:29.523007000,1024,1000000,auto,0.999,1000,-3.1354758149907593,0.0765149352465365,big,0.01,16,FAIL
11,11,-399.912633,2021-03-18 02:48:27.356751,2021-03-18 03:14:55.534614,0 days 00:26:28.177863000,512,1000000,auto,0.9999,0,-0.08297390178030861,0.0683064500473921,medium,0.005,32,COMPLETE
12,12,235.5872132,2021-03-18 03:10:19.311245,2021-03-18 03:36:20.443459,0 days 00:26:01.132214000,2048,10000,auto,0.98,10000,-3.6993678109671846,7.913637119764078e-05,medium,0.02,32,COMPLETE
13,13,-80.66189979999999,2021-03-18 03:14:55.536582,2021-03-18 04:02:44.622045,0 days 00:47:49.085463000,2048,10000,auto,0.995,1000,-1.466234000511594,0.004562175221603568,big,0.001,8,COMPLETE
14,14,-0.04518,2021-03-18 03:36:20.445413,2021-03-18 03:58:00.877711,0 days 00:21:40.432298000,256,10000,auto,0.995,1000,-1.411471345675868,0.005664289183917369,medium,0.001,256,COMPLETE
15,15,-1.0030882,2021-03-18 03:58:00.879709,2021-03-18 04:28:42.109049,0 days 00:30:41.229340000,2048,10000,auto,0.995,1000,0.9760184494288678,0.0022512057653409187,medium,0.001,8,COMPLETE
16,16,249.76327120000002,2021-03-18 04:02:44.624165,2021-03-18 04:31:10.938988,0 days 00:28:26.314823000,2048,10000,auto,0.9999,10000,0.7573647090913029,0.000637971623551687,medium,0.01,256,COMPLETE
17,17,5.3511556,2021-03-18 04:28:42.111167,2021-03-18 04:48:57.887385,0 days 00:20:15.776218000,256,1000000,auto,0.9999,10000,-0.7182154328810837,0.0004890952871321929,medium,0.02,256,COMPLETE
18,18,-2.4703733999999997,2021-03-18 04:31:10.940964,2021-03-18 04:35:47.713678,0 days 00:04:36.772714000,256,1000000,auto,0.99,10000,-0.7981088431017815,0.024023613870496962,medium,0.02,256,PRUNED
19,19,815.081678,2021-03-18 04:35:47.717157,2021-03-18 05:03:25.866514,0 days 00:27:38.149357000,256,10000,auto,0.995,1000,-2.291141417972465,0.00024198655712762788,big,0.01,256,COMPLETE
20,20,5.7809498,2021-03-18 04:48:57.889410,2021-03-18 05:22:06.428707,0 days 00:33:08.539297000,512,10000,auto,0.995,1000,-2.452938061098483,0.015631150989244263,big,0.01,256,COMPLETE
21,21,-0.01149180000000003,2021-03-18 05:03:25.871166,2021-03-18 05:16:51.609118,0 days 00:13:25.737952000,512,10000,auto,0.9999,1000,-2.2793209609675307,0.012198761440923987,medium,0.01,64,PRUNED
22,22,-0.8755102000000001,2021-03-18 05:16:51.610423,2021-03-18 05:23:35.205964,0 days 00:06:43.595541000,2048,10000,auto,0.999,10000,0.4140137114698015,0.024443895701351918,medium,0.02,16,PRUNED
23,23,731.2553756,2021-03-18 05:22:06.430735,2021-03-18 05:49:58.297850,0 days 00:27:51.867115000,2048,10000,auto,0.999,10000,0.378407434386872,0.00020066870756835778,medium,0.02,512,COMPLETE
24,24,406.49445099999997,2021-03-18 05:23:35.207318,2021-03-18 05:51:50.457929,0 days 00:28:15.250611000,256,10000,auto,0.995,1000,-2.0585940555448197,0.00022941086003249014,big,0.01,256,COMPLETE
25,25,-0.22920220000000002,2021-03-18 05:49:58.300845,2021-03-18 06:13:13.553254,0 days 00:23:15.252409000,256,10000,auto,0.995,1000,-2.159303322424198,0.0014858079716373567,big,0.01,256,PRUNED
26,26,-0.061057600000000004,2021-03-18 05:51:50.459905,2021-03-18 06:20:41.873727,0 days 00:28:51.413822000,256,10000,auto,0.995,1000,-1.901035459275937,0.0017954488228416326,big,0.01,256,COMPLETE
27,27,-0.343743,2021-03-18 06:13:13.554564,2021-03-18 06:23:41.377650,0 days 00:10:27.823086000,256,10000,auto,0.995,1000,-1.7924752066040517,0.0038557662773453945,big,0.01,256,PRUNED
28,28,604.9471820000001,2021-03-18 06:20:41.876139,2021-03-18 06:47:51.944321,0 days 00:27:10.068182000,256,10000,auto,0.98,1000,-0.7974239685900975,0.00033508159916846976,big,0.01,256,COMPLETE
29,29,0.2330996,2021-03-18 06:23:41.378460,2021-03-18 06:51:57.915993,0 days 00:28:16.537533000,256,10000,auto,0.98,1000,-0.8362993141943107,0.0004061646783011128,big,0.01,256,COMPLETE
30,30,0.2859151999999999,2021-03-18 06:47:51.948304,2021-03-18 07:17:07.692037,0 days 00:29:15.743733000,256,1000000,auto,0.99,0,-3.5407410261370096,0.00012728808799827322,big,0.01,16,COMPLETE
