,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,725.1308274,2021-05-04 11:16:08.902985,2021-05-04 19:21:28.632548,0 days 08:05:19.729563000,2048,1000000,0.999,1000,-1.9277561029237607,0.004947882107821595,big,0.01,8,COMPLETE
1,1,-395.2720478,2021-05-04 11:16:08.905676,2021-05-04 13:39:28.087074,0 days 02:23:19.181398000,64,100000,0.9999,1000,0.5176450090655162,0.013094650416795115,medium,0.02,64,COMPLETE
2,2,-368.12978080000005,2021-05-04 11:16:08.906822,2021-05-04 14:35:30.503167,0 days 03:19:21.596345000,1024,100000,0.9999,0,-0.5638309814072842,0.045024378035924,small,0.02,64,COMPLETE
3,3,-373.26523499999996,2021-05-04 13:39:28.096137,2021-05-04 18:12:56.629568,0 days 04:33:28.533431000,16,1000000,0.995,0,-0.11631485172468059,0.6467114288270158,big,0.005,32,COMPLETE
4,4,546.2856244000001,2021-05-04 14:35:30.522573,2021-05-04 16:19:27.626680,0 days 01:43:57.104107000,64,10000,0.9,0,-1.6699209800775687,0.0009053709512482495,small,0.02,64,COMPLETE
5,5,385.117399,2021-05-04 16:19:27.638643,2021-05-04 20:07:56.595063,0 days 03:48:28.956420000,128,1000000,0.9,0,-1.1026513377220994,1.9328007481451733e-05,big,0.005,32,COMPLETE
6,6,-381.3682812,2021-05-04 18:12:56.639836,2021-05-04 21:27:40.336108,0 days 03:14:43.696272000,256,100000,0.999,1000,-3.798236239950006,0.006312016019693936,big,0.05,32,COMPLETE
7,7,,2021-05-04 19:21:28.650571,2021-05-04 20:09:52.849907,0 days 00:48:24.199336000,16,10000,0.95,0,-0.8533181407754689,0.010824549016386098,small,0.02,128,FAIL
8,8,491.71781359999994,2021-05-04 20:07:56.597405,2021-05-04 23:28:28.716726,0 days 03:20:32.119321000,1024,100000,0.995,1000,-1.522670266718837,0.015080272798196544,medium,0.001,64,COMPLETE
9,9,,2021-05-04 20:09:52.851054,2021-05-04 21:40:27.273609,0 days 01:30:34.422555000,32,10000,0.999,1000,-3.6592926559568557,0.01664930514191971,big,0.001,64,FAIL
10,10,298.7585098,2021-05-04 21:27:40.338112,2021-05-04 22:17:30.748727,0 days 00:49:50.410615000,64,10000,0.995,0,-0.46122746357586086,4.685064619548119e-05,small,0.05,64,COMPLETE
11,11,142.4480628,2021-05-04 21:40:27.275866,2021-05-04 22:27:17.827559,0 days 00:46:50.551693000,256,1000000,0.9,20000,-0.20812837015889407,0.017466731807120005,small,0.001,32,COMPLETE
12,12,371.38972820000004,2021-05-04 22:17:30.754069,2021-05-05 00:52:05.863275,0 days 02:34:35.109206000,256,1000000,0.995,0,0.15125153731251295,1.9904169328069583e-05,big,0.02,8,COMPLETE
13,13,637.3173994000001,2021-05-04 22:27:17.839830,2021-05-04 23:43:21.279170,0 days 01:16:03.439340000,512,100000,0.995,0,-1.7653922516492941,0.0024389416588646946,small,0.005,16,COMPLETE
14,14,431.8590072,2021-05-04 23:28:28.723607,2021-05-05 06:29:06.505225,0 days 07:00:37.781618000,2048,1000000,0.95,10000,-2.834449687434469,0.0003161829630082378,big,0.01,8,COMPLETE
15,15,724.8457372,2021-05-04 23:43:21.284588,2021-05-05 03:20:38.377556,0 days 03:37:17.092968000,512,1000000,0.99,10000,-2.6567005979903424,0.000552242953511484,big,0.01,8,COMPLETE
16,16,790.9288514000001,2021-05-05 00:52:05.865667,2021-05-05 07:24:58.772820,0 days 06:32:52.907153000,2048,100000,0.99,10000,-2.634538514770931,0.0007578977710040499,big,0.01,16,COMPLETE
17,17,682.872507,2021-05-05 03:20:38.385872,2021-05-05 09:11:36.371681,0 days 05:50:57.985809000,2048,1000000,0.99,10000,-3.0292474809072716,0.00031259603489349516,big,0.01,8,COMPLETE
18,18,174.67485520000002,2021-05-05 06:29:06.511521,2021-05-05 08:39:10.440169,0 days 02:10:03.928648000,32,1000000,0.99,10000,-2.6543306380611758,0.00013514397988334618,big,0.01,256,COMPLETE
19,19,-389.78884580000005,2021-05-05 07:24:58.774576,2021-05-05 09:08:15.191489,0 days 01:43:16.416913000,2048,10000,0.99,10000,-2.596205549434778,0.15839327649886173,big,0.01,256,PRUNED
20,20,-381.8927248,2021-05-05 08:39:10.444914,2021-05-05 09:48:46.543717,0 days 01:09:36.098803000,2048,10000,0.999,20000,-3.6460194650099833,0.15995210628346246,big,0.01,128,PRUNED
21,21,559.7091608,2021-05-05 09:08:15.196455,2021-05-05 13:04:28.379016,0 days 03:56:13.182561000,2048,100000,0.999,20000,-3.853429807963413,0.002148942535531987,medium,0.01,16,COMPLETE
22,22,832.6869286000001,2021-05-05 09:11:36.373814,2021-05-05 12:56:24.727537,0 days 03:44:48.353723000,2048,100000,0.98,20000,-3.737633740108215,0.0021439636728093933,medium,0.01,16,COMPLETE
23,23,85.3366248,2021-05-05 09:48:46.546106,2021-05-05 11:08:25.975414,0 days 01:19:39.429308000,2048,100000,0.98,1000,-2.0429940362888885,0.002141063014564953,medium,0.01,16,PRUNED
24,24,208.3149338,2021-05-05 11:08:25.979228,2021-05-05 11:37:16.942746,0 days 00:28:50.963518000,32,100000,0.999,1000,-1.09916438957279,9.968959063767396e-05,big,0.01,512,PRUNED
25,25,905.232698,2021-05-05 11:37:16.944904,2021-05-05 13:57:47.546977,0 days 02:20:30.602073000,512,1000000,0.99,10000,-2.1482085525961625,0.0006883380609139839,big,0.01,8,COMPLETE
26,26,983.2963758,2021-05-05 12:56:24.731275,2021-05-05 16:31:28.397700,0 days 03:35:03.666425000,2048,100000,0.98,20000,-3.349690236934646,0.0032293307109323554,medium,0.01,16,COMPLETE
27,27,701.7855664,2021-05-05 13:04:28.382925,2021-05-05 16:43:17.286663,0 days 03:38:48.903738000,2048,100000,0.98,20000,-3.35008066847414,0.0009623571681507112,medium,0.01,16,COMPLETE
28,28,828.3364018,2021-05-05 13:57:47.550467,2021-05-05 16:02:13.026668,0 days 02:04:25.476201000,512,100000,0.98,20000,-3.387594253204627,0.0007727879003690845,medium,0.01,16,COMPLETE
29,29,954.0824676,2021-05-05 16:02:13.030347,2021-05-05 18:09:09.744584,0 days 02:06:56.714237000,512,100000,0.98,20000,-3.388846662716926,0.0012768257605507527,medium,0.05,16,COMPLETE
30,30,,2021-05-05 16:31:28.399657,2021-05-05 16:42:54.077897,0 days 00:11:25.678240000,16,100000,0.98,20000,-3.291705175558824,0.03999648401340567,medium,0.05,128,PRUNED
31,31,-156.452721,2021-05-05 16:42:54.081191,2021-05-05 16:57:31.289556,0 days 00:14:37.208365000,128,100000,0.98,20000,-2.2548602333959935,0.005302493172972873,medium,0.001,512,PRUNED
32,32,279.1927154,2021-05-05 16:43:17.288199,2021-05-05 17:20:08.024246,0 days 00:36:50.736047000,512,100000,0.98,20000,-2.296347274132433,0.004717549955422214,medium,0.001,512,PRUNED
33,33,147.891258,2021-05-05 16:57:31.291773,2021-05-05 17:15:54.118620,0 days 00:18:22.826847000,512,1000000,0.95,20000,-3.978297853996713,0.005258625428469081,medium,0.01,16,PRUNED
34,34,230.88121040000001,2021-05-05 17:15:54.121285,2021-05-05 17:50:22.435153,0 days 00:34:28.313868000,512,100000,0.98,20000,-2.2725920782882714,0.0001783741583871157,medium,0.01,8,PRUNED
35,35,214.77980740000004,2021-05-05 17:20:08.025509,2021-05-05 17:41:15.177110,0 days 00:21:07.151601000,512,100000,0.98,20000,-3.3263077705770723,0.00028004371079836353,medium,0.01,16,PRUNED
36,36,731.066093,2021-05-05 17:41:15.180501,2021-05-05 19:46:19.980810,0 days 02:05:04.800309000,512,100000,0.98,20000,-3.516466653654276,0.0013919888037110567,medium,0.01,16,COMPLETE
37,37,790.2995988,2021-05-05 17:50:22.437128,2021-05-05 19:14:31.068976,0 days 01:24:08.631848000,512,100000,0.98,20000,-3.531181789882298,0.0013980639083843434,medium,0.01,16,COMPLETE
38,38,750.9199398,2021-05-05 18:09:09.746552,2021-05-05 20:43:43.644992,0 days 02:34:33.898440000,1024,100000,0.9999,20000,-3.0340789430202877,0.0011990887022370609,medium,0.05,16,COMPLETE
39,39,-435.00700159999997,2021-05-05 19:14:31.072630,2021-05-05 19:35:02.578785,0 days 00:20:31.506155000,1024,100000,0.98,20000,-3.1159933183916553,0.008971097838463647,medium,0.05,16,PRUNED
40,40,,2021-05-05 19:35:02.580995,2021-05-05 19:48:52.539348,0 days 00:13:49.958353000,16,100000,0.9999,10000,-3.9681775570794393,0.0241981110366197,medium,0.05,16,PRUNED
41,41,205.0660178,2021-05-05 19:46:19.982998,2021-05-05 20:02:19.816305,0 days 00:15:59.833307000,16,100000,0.98,10000,0.8641454701513038,6.16534276879768e-05,medium,0.05,16,PRUNED
42,42,903.7538962000001,2021-05-05 19:48:52.543073,2021-05-05 21:25:25.055502,0 days 01:36:32.512429000,128,10000,0.9999,20000,-1.2271487086987665,0.0032089921652566277,medium,0.05,128,COMPLETE
43,43,610.6638110000001,2021-05-05 20:02:19.818555,2021-05-05 21:34:12.837314,0 days 01:31:53.018759000,64,10000,0.9999,20000,-1.0959704250063074,0.0033523224930271343,medium,0.02,256,COMPLETE
44,44,177.84307819999998,2021-05-05 20:43:43.650453,2021-05-05 21:02:04.201592,0 days 00:18:20.551139000,128,10000,0.9,20000,-1.2747005671265828,0.000458134350865162,medium,0.02,128,PRUNED
45,45,344.2085874,2021-05-05 21:02:04.204996,2021-05-05 21:33:20.165307,0 days 00:31:15.960311000,512,100000,0.98,20000,-3.6134906153270028,0.002961006722605835,medium,0.005,16,PRUNED
46,46,-360.1748396,2021-05-05 21:25:25.061720,2021-05-05 21:44:41.977398,0 days 00:19:16.915678000,128,10000,0.9999,20000,-0.8989647209620777,0.009002257176670782,medium,0.05,128,PRUNED
47,47,730.3735681999999,2021-05-05 21:33:20.167645,2021-05-05 22:34:56.052276,0 days 01:01:35.884631000,128,10000,0.9999,20000,-0.8106686832414602,0.012020009550673155,small,0.05,128,COMPLETE
48,48,579.649524,2021-05-05 21:34:12.840440,2021-05-05 22:35:43.036480,0 days 01:01:30.196040000,128,10000,0.9999,20000,-0.8853537592156742,0.013985642271014077,small,0.05,128,COMPLETE
49,49,613.7732726,2021-05-05 21:44:41.983137,2021-05-05 22:45:59.755733,0 days 01:01:17.772596000,128,10000,0.9999,20000,-0.7176867607669933,0.001574323286478854,small,0.05,128,COMPLETE
